Index,Time,Cmt,wt1,wt2,rsiMFI
188,2021-08-09 03:00,LongCond,-61.61159877272823,-62.421408385484334,13.513844750969469
196,2021-08-09 11:00,LongCond,-57.13277318939898,-59.431808365931,14.963179575175921
282,2021-08-13 01:00,LongCond,-68.95238902466374,-74.28785117234337,1.7876763984187969
347,2021-08-15 18:00,LongCond,-71.8221761343814,-72.00974700129183,2.7990100528835864
382,2021-08-17 05:00,LongCond,-60.983163187470986,-62.912110494746365,2.7290846505858886
385,2021-08-17 08:00,LongCond,-62.92099415027257,-64.47934974654983,0.1844551071185787
837,2021-09-05 04:00,LongCond,-56.51112401303007,-66.80546286490771,5.0697687937554745
1021,2021-09-12 20:00,ShortCond,64.51173529389355,66.22241881100008,-11.829482433445698
1267,2021-09-23 02:00,ShortCond,63.772989645733155,64.61587326291324,-3.8287575670694842
1684,2021-10-10 11:00,LongCond,-62.76782008809381,-70.24826647770341,1.4805144843599747
1987,2021-10-23 02:00,LongCond,-68.88736612586065,-71.85999456416424,13.10488516962993
2177,2021-10-31 00:00,LongCond,-59.88526930112185,-64.41597586441817,3.61455940321199
2292,2021-11-04 19:00,LongCond,-50.992984934220466,-53.225835351983534,4.949055918433193
2299,2021-11-05 02:00,LongCond,-63.99754310003559,-65.897239691196,0.12936665835910466
2430,2021-11-10 13:00,LongCond,-55.71248258495634,-62.26026651901381,8.230184356455005
2619,2021-11-18 10:00,ShortCond,63.105989090453804,64.86156304080481,-21.635421374195722
2660,2021-11-20 03:00,ShortCond,65.63584744537226,66.32333958771281,-3.5280655536685757
2952,2021-12-02 07:00,LongCond,-61.116023075109766,-61.6710989299886,7.253487935875146
2958,2021-12-02 13:00,LongCond,-60.465454108810086,-63.204713724327696,2.3536535282986026
3508,2021-12-25 11:00,LongCond,-53.64035875260192,-53.87658043965283,0.7689799222179872
3663,2021-12-31 22:00,ShortCond,53.578718622718846,56.42097534750329,-12.684523520004912
3714,2022-01-03 01:00,ShortCond,80.9866548877081,81.86391210243134,-3.370137127622525
4211,2022-01-23 18:00,ShortCond,56.77315547029067,57.43498779715852,-22.117333682606592
4268,2022-01-26 03:00,ShortCond,53.828555126060806,59.80259403241848,-11.676463241211398
4471,2022-02-03 14:00,LongCond,-51.29505353055554,-53.9663432603586,8.311443435724186
4553,2022-02-07 00:00,LongCond,-50.71946275741569,-57.571050344175376,18.45783420405259
4658,2022-02-11 09:00,LongCond,-61.07862292328324,-61.079132465568954,4.779988116060507
4793,2022-02-17 00:00,LongCond,-60.60431623685597,-60.87195384865685,12.9350815775529
4904,2022-02-21 15:00,ShortCond,54.51716398985673,56.87631943630976,-12.353055861481527
