Starting - Ending Date,,01/09/2021 - 31/03/2022,,,,,
Timeframe,,30m,,abs(T-J),1h,,abs(T-J)
,,Tradingview,Jesse,,Tradingview,Jesse,
Total Closed Trades,,22,47,25,18,24,6
Total Net Profit,,-4.65%,-1.34%,0.0331,12.40%,20.53%,0.0813
Max Drawdown,,-23.32%,-30.14%,0.0682,-12.53%,-9.96%,0.0257
Winrate,,40.91%,36.17%,0.0474,50.00%,45.83%,0.0417
Sharpe Ratio,,-0.074,0.11,0.184,0.298,1.27,0.972
Sortino Ratio,,-0.115,0.16,0.275,0.741,2.37,1.629
Largest Winning Trade,,513.52,549.66,36.14,576.8,621.5,44.7
Largest Losing Trade,,-475.69,-319.93,155.76,-597.32,-320.15,277.17
Total Winning Trades,,9,17,8,9,11,2
Total Losing Trades,,13,30,17,9,13,4
,,,,,,,
Starting - Ending Date,,01/10/2021 - 31/03/2022,,,,,
Timeframe,,30m,,abs(T-J),1h,,abs(T-J)
,,Tradingview,Jesse,,Tradingview,Jesse,
Total Closed Trades,,19,39,20,17,21,4
Total Net Profit,,4.29%,6.54%,0.0225,12.14%,21.47%,0.0933
Max Drawdown,,-19.26%,-26.25%,0.0699,-12.34%,-9.58%,0.0276
Winrate,,42.11%,38.46%,0.0365,47.06%,47.62%,0.0056
Sharpe Ratio,,0.108,0.55,0.442,0.322,1.5,1.178
Sortino Ratio,,0.208,0.89,0.682,0.818,2.94,2.122
Largest Winning Trade,,558.45,593.57,35.12,576.8,626.67,49.87
Largest Losing Trade,,-429.54,-345.38,84.16,-585.84,-323.5,262.34
Total Winning Trades,,8,15,7,8,10,2
Total Losing Trades,,11,24,13,9,11,2
,,,,,,,
Starting - Ending Date,,01/08/2021 - 28/02/2022,,,,,
Timeframe,,30m,,abs(T-J),1h,,abs(T-J)
,,Tradingview,Jesse,,Tradingview,Jesse,
Total Closed Trades,,30,52,22,22,29,7
Total Net Profit,,-7.24%,0.08%,0.0732,17.65%,32.89%,0.1524
Max Drawdown,,-33.27%,-35.33%,0.0206,-17.13%,-9.98%,0.0715
Winrate,,50.00%,36.54%,0.1346,54.55%,48.28%,0.0627
Sharpe Ratio,,-0.119,0.19,0.309,0.38,1.78,1.4
Sortino Ratio,,-0.176,0.28,0.456,1.072,3.47,2.398
Largest Winning Trade,,550.6,556.56,5.96,601.39,658.66,57.27
Largest Losing Trade,,-1033.16,-323.64,709.52,-751.03,-372.82,378.21
Total Winning Trades,,15,19,4,12,14,2
Total Losing Trades,,15,33,18,10,15,5
