Starting - Ending Date,,01/09/2021 - 31/03/2022,,,,,
Timeframe,,30m,,,1h,,
,,Tradingview,Jesse,abs(T-J),Tradingview,Jesse,abs(T-J)
Total Closed Trades,,49,47,2,24,24,0
Total Net Profit,,29.62%,-1.34%,0.3096,20.44%,20.53%,0.0009
Max Drawdown,,-19.93%,-30.14%,0.1021,-9.48%,-9.96%,0.0048
Winrate,,42.86%,36.17%,0.0669,45.83%,45.83%,0
Sharpe Ratio,,0.327,0.11,0.217,0.665,1.27,0.605
Sortino Ratio,,0.981,0.16,0.821,4.085,2.37,1.715
Largest Winning Trade,,719.48,549.66,169.82,621.57,621.5,0.07
Largest Losing Trade,,420.02,-319.93,739.95,320.15,-320.15,640.3
Total Winning Trades,,21,17,4,11,11,0
Total Losing Trades,,28,30,2,13,13,0
,,,,,,,
Starting - Ending Date,,01/10/2021 - 31/03/2022,,,,,
Timeframe,,30m,,,1h,,
,,Tradingview,Jesse,abs(T-J),Tradingview,Jesse,abs(T-J)
Total Closed Trades,,42,39,3,21,21,0
Total Net Profit,,35.73%,6.54%,0.2919,21.43%,21.47%,0.0004
Max Drawdown,,-18.02%,-26.25%,0.0823,-8.73%,-9.58%,0.0085
Winrate,,45.24%,38.46%,0.0678,47.62%,47.62%,0
Sharpe Ratio,,0.423,0.55,0.127,0.817,1.5,0.683
Sortino Ratio,,1.326,0.89,0.436,5.732,2.94,2.792
Largest Winning Trade,,753.78,593.57,160.21,625.87,626.67,0.8
Largest Losing Trade,,-439.75,-345.38,94.37,-322.66,-323.5,0.84
Total Winning Trades,,19,15,4,10,10,0
Total Losing Trades,,23,24,1,11,11,0
,,,,,,,
Starting - Ending Date,,01/08/2021 - 28/02/2022,,,,,
Timeframe,,30m,,,1h,,
,,Tradingview,Jesse,abs(T-J),Tradingview,Jesse,abs(T-J)
Total Closed Trades,,55,52,3,29,29,0
Total Net Profit,,38.55%,0.08%,0.3847,32.83%,32.89%,0.0006
Max Drawdown,,-21.87%,-35.33%,0.1346,-9.48%,-9.98%,0.005
Winrate,,43.64%,36.54%,0.071,48.28%,48.28%,0
Sharpe Ratio,,0.406,0.19,0.216,0.673,1.78,1.107
Sortino Ratio,,1.208,0.28,0.928,6.525,3.47,3.055
Largest Winning Trade,,757.43,556.56,200.87,684.6,658.66,25.94
Largest Losing Trade,,-422.3,-323.64,98.66,-372.81,-372.82,0.01
Total Winning Trades,,24,19,5,14,14,0
Total Losing Trades,,31,33,2,15,15,0
